
-25 02:02:03: Training starting...

-25 02:02:05: New best reward 35.0 (-100.0%) at episode 0, saving model...

-25 02:02:05: New best reward 54.0 (+54.3%) at episode 34, saving model...

-25 02:02:05: New best reward 74.0 (+37.0%) at episode 57, saving model...

-25 02:02:06: New best reward 85.0 (+14.9%) at episode 194, saving model...

-25 02:02:06: New best reward 88.0 (+3.5%) at episode 345, saving model...

-25 02:02:07: New best reward 143.0 (+62.5%) at episode 544, saving model...

-25 02:02:08: New best reward 154.0 (+7.7%) at episode 695, saving model...

-25 02:02:11: New best reward 189.0 (+22.7%) at episode 1242, saving model...

-25 02:02:15: New best reward 318.0 (+68.3%) at episode 1813, saving model...

-25 02:02:19: New best reward 374.0 (+17.6%) at episode 2208, saving model...

-25 02:02:21: New best reward 505.0 (+35.0%) at episode 2305, saving model...

-25 02:02:25: New best reward 528.0 (+4.6%) at episode 2481, saving model...

-25 02:02:30: New best reward 541.0 (+2.5%) at episode 2730, saving model...

-25 02:02:31: New best reward 562.0 (+3.9%) at episode 2757, saving model...

-25 02:02:33: New best reward 595.0 (+5.9%) at episode 2788, saving model...

-25 02:02:22: New best reward 701.0 (+17.8%) at episode 4419, saving model...

-25 02:02:28: New best reward 723.0 (+3.1%) at episode 4558, saving model...

-25 02:02:31: New best reward 744.0 (+2.9%) at episode 4627, saving model...

-25 02:02:32: New best reward 783.0 (+5.2%) at episode 4639, saving model...

-25 02:02:35: New best reward 813.0 (+3.8%) at episode 4700, saving model...

-25 02:02:41: New best reward 874.0 (+7.5%) at episode 4807, saving model...

-25 02:02:41: New best reward 1279.0 (+46.3%) at episode 4816, saving model...

-25 02:02:41: New best reward 1416.0 (+10.7%) at episode 4817, saving model...

-25 02:02:43: New best reward 2934.0 (+107.2%) at episode 4836, saving model...

-25 02:02:07: New best reward 3079.0 (+4.9%) at episode 5486, saving model...

-25 02:02:11: New best reward 3342.0 (+8.5%) at episode 5530, saving model...

-25 02:02:37: New best reward 100000.0 (+2892.2%) at episode 5781, saving model...
